"ID","Module"
"Recorder Suggested Index","Core"
"OAuth Client Role","Integrations"
"System Health Report Failing Jobs","Desk"
"System Health Report Errors","Desk"
"System Health Report Queue","Desk"
"System Health Report Tables","Desk"
"System Health Report Workers","Desk"
"System Health Report","Desk"
"Ledger Health Monitor Company","Accounts"
"Ledger Health Monitor","Accounts"
"Ledger Health","Accounts"
"Scheduled Job Type","Core"
"Custom Field","Custom"
"Workflow Action","Workflow"
"Transaction Deletion Record Details","Accounts"
"User Role Profile","Core"
"Push Notification Settings","Integrations"
"Permission Inspector","Core"
"Asset Shift Factor","Assets"
"Asset Shift Allocation","Assets"
"Bulk Transaction Log","Bulk Transaction"
"Repost Allowed Types","Accounts"
"Repost Accounting Ledger Settings","Accounts"
"Plant Floor","Manufacturing"
"Bisect Nodes","Accounts"
"Process Subscription","Accounts"
"Bisect Accounting Statements","Accounts"
"Subcontracting BOM","Subcontracting"
"Unreconcile Payment Entries","Accounts"
"Unreconcile Payment","Accounts"
"Audit Trail","Core"
"Serial and Batch Bundle","Stock"
"Blog Post","Website"
"Recorder Query","Core"
"Recorder","Core"
"Asset Activity","Assets"
"BOM Creator","Manufacturing"
"BOM Creator Item","Manufacturing"
"Repost Accounting Ledger Items","Accounts"
"Repost Accounting Ledger","Accounts"
"Portal User","Utilities"
"Amended Document Naming Settings","Core"
"Job Card Scheduled Time","Manufacturing"
"Stock Reservation Entry","Stock"
"Warehouse","Stock"
"Workspace Custom Block","Desk"
"Custom HTML Block","Desk"
"Closing Stock Balance","Stock"
"Changelog Feed","Desk"
"Process Payment Reconciliation","Accounts"
"RQ Job","Core"
"Marketing Campaign","Website"
"Process Payment Reconciliation Log","Accounts"
"Process Payment Reconciliation Log Allocations","Accounts"
"Log Settings","Core"
"Reminder","Automation"
"Account Closing Balance","Accounts"
"Workspace Number Card","Desk"
"Incoterm","Setup"
"Workstation Type","Manufacturing"
"Asset Depreciation Schedule","Assets"
"Repost Payment Ledger Items","Accounts"
"Repost Payment Ledger","Accounts"
"Submission Queue","Core"
"Serial and Batch Entry","Stock"
"Tax Withheld Vouchers","Accounts"
"RQ Worker","Core"
"Web Form List Column","Website"
"Inventory Dimension","Stock"
"Logs To Clear","Core"
"CRM Note","CRM"
"BOM Update Batch","Manufacturing"
"Document Naming Settings","Core"
"Workspace Quick List","Desk"
"Payment Ledger Entry","Accounts"
"Prospect Opportunity","CRM"
"Subcontracting Receipt","Subcontracting"
"Subcontracting Receipt Supplied Item","Subcontracting"
"Subcontracting Receipt Item","Subcontracting"
"Subcontracting Order","Subcontracting"
"Subcontracting Order Supplied Item","Subcontracting"
"Subcontracting Order Item","Subcontracting"
"Subcontracting Order Service Item","Subcontracting"
"Integration Request","Integrations"
"BOM Update Log","Manufacturing"
"Telephony Call Type","Telephony"
"Workflow Action Permitted Role","Workflow"
"Call Log","Telephony"
"Employee","Setup"
"Item Barcode","Stock"
"Variant Field","Stock"
"Lead","CRM"
"Stock Entry Detail","Stock"
"Journal Entry","Accounts"
"Sales Invoice","Accounts"
"Company","Setup"
"Tax Category","Accounts"
"Item Tax Template","Accounts"
"Asset","Assets"
"Document Share Key","Core"
"Cost Center Allocation Percentage","Accounts"
"Cost Center Allocation","Accounts"
"Repost Item Valuation","Stock"
"User","Core"
"Currency Exchange Settings","Accounts"
"System Settings","Core"
"Data Import Log","Core"
"Ledger Merge Accounts","Accounts"
"Ledger Merge","Accounts"
"Newsletter Attachment","Email"
"Bulk Transaction Log Detail","Bulk Transaction"
"Advance Tax","Accounts"
"Competitor Detail","CRM"
"Competitor","CRM"
"Print Format Field Template","Printing"
"Stock Reposting Settings","Stock"
"IMAP Folder","Email"
"Network Printer Settings","Printing"
"Overdue Payment","Accounts"
"Job Card Scrap Item","Manufacturing"
"CRM Settings","CRM"
"Asset Capitalization Service Item","Assets"
"Package Import","Core"
"Asset Capitalization Asset Item","Assets"
"Asset Capitalization Stock Item","Assets"
"Package Release","Core"
"Asset Capitalization","Assets"
"Package","Core"
"Currency Exchange Settings Result","Accounts"
"Currency Exchange Settings Details","Accounts"
"Party Specific Item","Selling"
"DocType State","Core"
"Prospect","CRM"
"Prospect Lead","CRM"
"Party Link","Accounts"
"Payment Reconciliation Allocation","Accounts"
"Discussion Reply","Website"
"Discussion Topic","Website"
"South Africa VAT Settings","Regional"
"South Africa VAT Account","Accounts"
"SLA Fulfilled On Status","Support"
"Webhook Request Log","Integrations"
"Form Tour Step","Desk"
"Form Tour","Desk"
"Asset Repair Consumed Item","Assets"
"Supplier Group Item","Accounts"
"Supplier Item","Accounts"
"Campaign Item","Accounts"
"Sales Partner Item","Accounts"
"Territory Item","Accounts"
"Customer Group Item","Accounts"
"Customer Item","Accounts"
"Personal Data Deletion Step","Website"
"Production Plan Item Reference","Manufacturing"
"POS Search Fields","Accounts"
"User Group","Core"
"User Group Member","Core"
"Transaction Deletion Record Item","Setup"
"Transaction Deletion Record","Setup"
"Quality Inspection Parameter Group","Stock"
"User Type Module","Core"
"User Select Document Type","Core"
"User Document Type","Core"
"User Type","Core"
"Quality Inspection Parameter","Stock"
"Production Plan Sub Assembly Item","Manufacturing"
"Module Profile","Core"
"Voice Call Settings","Telephony"
"Job Card Operation","Manufacturing"
"Sub Operation","Manufacturing"
"Bank Reconciliation Tool","Accounts"
"Incoming Call Handling Schedule","Telephony"
"Incoming Call Settings","Telephony"
"DocType Layout","Custom"
"DocType Layout Field","Custom"
"Workspace Link","Desk"
"Query Parameters","Integrations"
"Auto Repeat Day","Automation"
"Putaway Rule","Stock"
"Accounting Dimension Filter","Accounts"
"Allowed Dimension","Accounts"
"Applicable On Account","Accounts"
"Non Conformance","Quality Management"
"Log Setting User","Core"
"UAE VAT Account","Regional"
"UAE VAT Settings","Regional"
"Website Theme Ignore App","Website"
"Advance Taxes and Charges","Accounts"
"Document Naming Rule Condition","Core"
"Document Naming Rule","Core"
"Console Log","Desk"
"System Console","Desk"
"PSOA Cost Center","Accounts"
"PSOA Project","Accounts"
"Process Statement Of Accounts Customer","Accounts"
"Video Settings","Utilities"
"Navbar Settings","Core"
"Navbar Item","Core"
"Opportunity Lost Reason Detail","CRM"
"OAuth Scope","Integrations"
"Quotation Lost Reason Detail","Setup"
"Shipment Delivery Note","Stock"
"Shipment Parcel Template","Stock"
"Shipment Parcel","Stock"
"Shipment","Stock"
"Email Digest Recipient","Setup"
"Pause SLA On Status","Support"
"Process Statement Of Accounts","Accounts"
"Installed Applications","Core"
"Installed Application","Core"
"Onboarding Permission","Desk"
"POS Payment Method","Accounts"
"Social Link Settings","Website"
"Onboarding Step Map","Desk"
"POS Opening Entry Detail","Accounts"
"Module Onboarding","Desk"
"Number Card Link","Desk"
"Color","Website"
"Downtime Entry","Manufacturing"
"Web Template","Website"
"Web Template Field","Website"
"Web Page Block","Website"
"Web Page View","Website"
"Number Card","Desk"
"Onboarding Step","Desk"
"Journal Entry Template Account","Accounts"
"Journal Entry Template","Accounts"
"Dashboard Settings","Desk"
"Lower Deduction Certificate","Regional"
"POS Opening Entry","Accounts"
"Dashboard Chart Field","Desk"
"Production Plan Material Request Warehouse","Manufacturing"
"POS Invoice Merge Log","Accounts"
"POS Invoice Reference","Accounts"
"POS Invoice Item","Accounts"
"POS Invoice","Accounts"
"Workspace","Desk"
"Workspace Shortcut","Desk"
"Workspace Chart","Desk"
"Report Filter","Core"
"Report Column","Core"
"Dunning Letter Text","Accounts"
"Dunning Type","Accounts"
"Appointment Booking Slots","CRM"
"Process Deferred Accounting","Accounts"
"List View Settings","Desk"
"Import Supplier Invoice","Regional"
"Notification Subscribed Document","Desk"
"Asset Movement Item","Assets"
"Server Script","Core"
"Tag Link","Desk"
"DocType Link","Core"
"DocType Action","Core"
"Scheduled Job Log","Core"
"Assignment Rule Day","Automation"
"Global Search DocType","Desk"
"Notification Settings","Desk"
"Availability Of Slots","CRM"
"Quick Stock Balance","Stock"
"Global Search Settings","Desk"
"Customer Credit Limit","Selling"
"Appointment Booking Settings","CRM"
"Appointment","CRM"
"Notification Log","Desk"
"POS Field","Accounts"
"Google Drive","Integrations"
"Data Import","Core"
"Bank Statement Import","Accounts"
"Contact Phone","Contacts"
"Contact Email","Contacts"
"Access Log","Core"
"Session Default Settings","Core"
"Session Default","Core"
"Accounting Dimension Detail","Accounts"
"Pick List","Stock"
"Pick List Item","Stock"
"Google Calendar","Integrations"
"Dunning","Accounts"
"Email Campaign","CRM"
"Campaign Email Schedule","CRM"
"Google Contacts","Integrations"
"Google Settings","Integrations"
"Communication Medium","Communication"
"Communication Medium Timeslot","Communication"
"Item Manufacturer","Stock"
"LDAP Group Mapping","Integrations"
"Quality Feedback Parameter","Quality Management"
"Quality Feedback","Quality Management"
"Quality Feedback Template Parameter","Quality Management"
"Quality Feedback Template","Quality Management"
"Quality Meeting Agenda","Quality Management"
"Quality Meeting Minutes","Quality Management"
"Quality Action Resolution","Quality Management"
"Quality Review Objective","Quality Management"
"Quality Goal Objective","Quality Management"
"Quality Procedure Process","Quality Management"
"Warehouse Type","Stock"
"Communication Link","Core"
"Issue Priority","Support"
"Website Route Redirect","Website"
"Accounting Dimension","Accounts"
"Service Level Priority","Support"
"Task Type","Projects"
"Milestone","Automation"
"Milestone Tracker","Automation"
"Pricing Rule Brand","Accounts"
"Pricing Rule Item Code","Accounts"
"Pricing Rule Item Group","Accounts"
"Promotional Scheme Price Discount","Accounts"
"Promotional Scheme Product Discount","Accounts"
"Energy Point Settings","Social"
"Review Level","Social"
"Stock Entry Type","Stock"
"Dashboard Chart Link","Desk"
"Job Card Time Log","Manufacturing"
"Discounted Invoice","Accounts"
"Invoice Discounting","Accounts"
"Service Day","Support"
"Assignment Rule","Automation"
"Assignment Rule User","Automation"
"Project Template Task","Projects"
"Project Template","Projects"
"Website Route Meta","Website"
"Website Meta Tag","Website"
"Personal Data Deletion Request","Website"
"Promotional Scheme","Accounts"
"Comment","Core"
"Dashboard Chart Source","Desk"
"Tally Migration","ERPNext Integrations"
"Pricing Rule Detail","Accounts"
"Chart of Accounts Importer","Accounts"
"Token Cache","Integrations"
"Personal Data Download Request","Website"
"Connected App","Integrations"
"Dashboard","Desk"
"Dashboard Chart","Desk"
"Document Follow","Email"
"Website Attribute","Portal"
"Website Filter Field","Portal"
"Opportunity Lost Reason","CRM"
"Lost Reason Detail","CRM"
"Service Level Agreement","Support"
"Bank Transaction Payments","Accounts"
"Item Tax Template Detail","Accounts"
"Employee Group Table","Setup"
"Employee Group","Setup"
"Bank Account Subtype","Accounts"
"Bank Account Type","Accounts"
"Plaid Settings","ERPNext Integrations"
"Bank Transaction Mapping","Accounts"
"Bank Transaction","Accounts"
"Video","Utilities"
"Quality Meeting","Quality Management"
"Quality Procedure","Quality Management"
"Route History","Desk"
"Quality Goal","Quality Management"
"Quality Review","Quality Management"
"Quality Action","Quality Management"
"Market Segment","CRM"
"Sales Stage","CRM"
"Event Participants","Desk"
"Email Digest","Setup"
"Delivery Settings","Stock"
"Cashier Closing Payments","Accounts"
"Payment Order","Accounts"
"Payment Order Reference","Accounts"
"Tax Withholding Rate","Accounts"
"Routing","Manufacturing"
"QuickBooks Migrator","ERPNext Integrations"
"Job Card","Manufacturing"
"Job Card Item","Manufacturing"
"Prepared Report","Core"
"Energy Point Log","Social"
"Energy Point Rule","Social"
"Cashier Closing","Accounts"
"Sales Partner Type","Selling"
"POS Closing Entry Taxes","Accounts"
"POS Closing Entry Detail","Accounts"
"POS Closing Entry","Accounts"
"View Log","Core"
"Blanket Order Item","Manufacturing"
"Blanket Order","Manufacturing"
"Slack Webhook URL","Integrations"
"Support Search Source","Support"
"Asset Value Adjustment","Assets"
"Asset Finance Book","Assets"
"Location","Assets"
"Item Default","Stock"
"UOM Conversion Factor","Setup"
"UOM Category","Stock"
"Allowed To Transact With","Accounts"
"Contract Fulfilment Checklist","CRM"
"Contract Template Fulfilment Terms","CRM"
"Contract Template","CRM"
"Success Action","Core"
"Closed Document","Accounts"
"Accounting Period","Accounts"
"Tax Withholding Account","Accounts"
"Tax Withholding Category","Accounts"
"Exchange Rate Revaluation Account","Accounts"
"Exchange Rate Revaluation","Accounts"
"Finance Book","Accounts"
