naming_series,supplier,transaction_date,schedule_date,company,currency,conversion_rate,buying_price_list,price_list_currency,plc_conversion_rate,set_warehouse,items,status,docstatus,name
PUR-ORD-.YYYY.-,SUP-8452,2023-11-24,2023-12-01,Velo GmbH,EUR,1.0,Standard Buying,EUR,1.0,Lager Stuttgart - B,"[{'item_code': 'COMP-0034', 'item_name': 'Griffe Standard', 'description': 'Griffe Standard: Hochwertige Komponente für optimale Leistung.', 'qty': 42, 'uom': 'Nos', 'rate': 86.02, 'warehouse': 'Lager Stuttgart - B'}]",Draft,1,PUR-ORD-2024-00011
PUR-ORD-.YYYY.-,SUP-9625,2023-08-08,2023-08-15,Velo GmbH,EUR,1.0,Standard Buying,EUR,1.0,Lager Stuttgart - B,"[{'item_code': 'COMP-0023', 'item_name': 'Sattel Sport', 'description': 'Ergonomischer Sportsattel für effizientes Pedalieren und Druckentlastung.', 'qty': 65, 'uom': 'Nos', 'rate': 112.31, 'warehouse': 'Lager Stuttgart - B'}]",Draft,1,PUR-ORD-2024-00012
PUR-ORD-.YYYY.-,SUP-3249,2023-08-18,2023-08-25,Velo GmbH,EUR,1.0,Standard Buying,EUR,1.0,Lager Stuttgart - B,"[{'item_code': 'COMP-0012', 'item_name': 'Steuersatz Integriert', 'description': 'Steuersatz Integriert: Hochwertige Komponente für optimale Leistung.', 'qty': 85, 'uom': 'Nos', 'rate': 173.06, 'warehouse': 'Lager Stuttgart - B'}]",Draft,1,PUR-ORD-2024-00013
PUR-ORD-.YYYY.-,SUP-8781,2023-09-26,2023-10-03,Velo GmbH,EUR,1.0,Standard Buying,EUR,1.0,Lager Stuttgart - B,"[{'item_code': 'COMP-0047', 'item_name': 'Lenker Riserbar', 'description': 'Erhöhter Lenker für entspannte Haltung und gute Übersicht.', 'qty': 6, 'uom': 'Nos', 'rate': 153.23, 'warehouse': 'Lager Stuttgart - B'}]",Draft,1,PUR-ORD-2024-00014
PUR-ORD-.YYYY.-,SUP-1186,2023-12-08,2023-12-15,Velo GmbH,EUR,1.0,Standard Buying,EUR,1.0,Lager Stuttgart - B,"[{'item_code': 'COMP-0020', 'item_name': 'Sattel Gel', 'description': 'Gel-Sattel für stoßabsorbierende Eigenschaften und hohen Komfort.', 'qty': 35, 'uom': 'Nos', 'rate': 84.72, 'warehouse': 'Lager Stuttgart - B'}]",Draft,1,PUR-ORD-2024-00015
PUR-ORD-.YYYY.-,SUP-5728,2023-09-30,2023-10-07,Velo GmbH,EUR,1.0,Standard Buying,EUR,1.0,Lager Stuttgart - B,"[{'item_code': 'COMP-0009', 'item_name': 'Griffe Standard', 'description': 'Griffe Standard: Hochwertige Komponente für optimale Leistung.', 'qty': 17, 'uom': 'Nos', 'rate': 142.72, 'warehouse': 'Lager Stuttgart - B'}]",Draft,1,PUR-ORD-2024-00016
PUR-ORD-.YYYY.-,SUP-3098,2023-02-07,2023-02-14,Velo GmbH,EUR,1.0,Standard Buying,EUR,1.0,Lager Stuttgart - B,"[{'item_code': 'COMP-0035', 'item_name': 'Reifen Gravel 29""', 'description': 'Reifen Gravel 29"": Hochwertige Komponente für optimale Leistung.', 'qty': 27, 'uom': 'Nos', 'rate': 140.49, 'warehouse': 'Lager Stuttgart - B'}]",Draft,1,PUR-ORD-2024-00017
PUR-ORD-.YYYY.-,SUP-7331,2023-08-20,2023-08-27,Velo GmbH,EUR,1.0,Standard Buying,EUR,1.0,Lager Stuttgart - B,"[{'item_code': 'COMP-0037', 'item_name': 'Schaltung 2x11 Rennrad', 'description': 'Klassische 2x11 Rennradschaltung für optimale Abstufung und Effizienz.', 'qty': 29, 'uom': 'Nos', 'rate': 184.35, 'warehouse': 'Lager Stuttgart - B'}]",Draft,1,PUR-ORD-2024-00018
PUR-ORD-.YYYY.-,SUP-5915,2023-11-29,2023-12-06,Velo GmbH,EUR,1.0,Standard Buying,EUR,1.0,Lager Stuttgart - B,"[{'item_code': 'COMP-0021', 'item_name': 'Vorbau Standardvorbau', 'description': 'Vorbau Standardvorbau: Hochwertige Komponente für optimale Leistung.', 'qty': 44, 'uom': 'Nos', 'rate': 112.5, 'warehouse': 'Lager Stuttgart - B'}]",Draft,1,PUR-ORD-2024-00019
PUR-ORD-.YYYY.-,SUP-9527,2023-06-23,2023-06-30,Velo GmbH,EUR,1.0,Standard Buying,EUR,1.0,Lager Stuttgart - B,"[{'item_code': 'COMP-0038', 'item_name': 'Lenker Riserbar', 'description': 'Erhöhter Lenker für entspannte Haltung und gute Übersicht.', 'qty': 97, 'uom': 'Nos', 'rate': 87.16, 'warehouse': 'Lager Stuttgart - B'}]",Draft,1,PUR-ORD-2024-00020
