ID                      ,Company   ,Conversion Rate ,Currency ,Item                ,Quantity ,Default Source Warehouse ,Default Target Warehouse ,Item Description                                                                                    ,Item Name           ,Item Code (Items)      ,Qty (Items) ,Rate (Items) ,UOM (Items)
BOM-BIKE-PREMIUM-002    ,Velo GmbH ,            1.0 ,EUR      ,STO-BIKE-2024-0001 ,     1.0 ,Lager Stuttgart - B      ,Lager Stuttgart - B      ,"High-End Rennrad mit Carbonrahmen und Shimano Ultegra Di2 Ausstattung." ,Velo Race Pro          ,                    ,            ,             ,
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-F001   ,        1.0 ,     1499.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-F006   ,        1.0 ,      549.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-C001   ,        1.0 ,      249.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-C005   ,        1.0 ,      159.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-C007   ,        1.0 ,      179.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-C009   ,        1.0 ,      149.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-W001   ,        1.0 ,     1199.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-W006   ,        2.0 ,       44.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-B001   ,        1.0 ,      599.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-B006   ,        2.0 ,       54.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-D001   ,        1.0 ,     1299.99 ,Nos
