Default Unit of Measure,Item Code,Valuation Rate,Item Group,Allow Alternative Item,Allow Negative Stock,Allow Purchase,Allow Sales,Description,Has Batch No,Has Serial No,Include Item In Manufacturing,Is Fixed Asset,Item Name,Maintain Stock,Standard Selling Rate,Warranty Period (in days),Weight Per Unit,Weight UOM,Serial Number Series,Batch Number Series,Default Expense Account (Item Defaults)
Nos,EBIKE-0001,2100.00,E-Bikes,1,0,0,1,E-Bike: Vielseitig einsetzbar für lange Touren und Alltagsfahrten. Robust und bequem. Mit leistungsstarkem Elektromotor für mühelose Fahrten.,,1,1,0,Velo E-Trekking 576,1,4199.99,730,24.0,Kg,EBIKE-SERIES-,,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,BIKE-0002,1300.00,Fahrräder,1,0,0,1,Perfekt für den urbanen Alltag. Komfortabel und wendig für Fahrten in der Stadt.,,1,1,0,Velo City 442,1,2599.99,730,14.5,Kg,BIKE-SERIES-,,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0001,25.00,Fahrradkomponenten,1,0,1,1,Gerader Lenker für aufrechte Sitzposition und gute Kontrolle.,1,,1,0,Lenker Flatbar,1,49.99,236,0.3,Kg,,BATCH-LEN-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0002,20.00,Fahrradkomponenten,1,0,1,1,"Reifen Straße 28"": Hochwertige Komponente für optimale Leistung.",1,,1,0,"Reifen Straße 28""",1,39.99,192,0.5,Kg,,BATCH-REI-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0003,80.00,Fahrradkomponenten,1,0,1,1,Controller Leistungsstark: Hochwertige Komponente für optimale Leistung.,1,,1,0,Controller Leistungsstark,1,159.99,345,0.5,Kg,,BATCH-CON-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0004,100.00,Fahrradkomponenten,1,0,1,1,Laufräder 28 Zoll: Hochwertige Komponente für optimale Leistung.,1,,1,0,Laufräder 28 Zoll,1,199.99,192,2.0,Kg,,BATCH-LAU-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0005,150.00,Fahrradkomponenten,1,0,1,1,Moderne 1x12 MTB-Schaltung für einfache Bedienung und große Übersetzungsbandbreite.,1,,1,0,Schaltung 1x12 MTB,1,299.99,138,0.4,Kg,,BATCH-SCH-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0006,50.00,Fahrradkomponenten,1,0,1,1,Display LCD: Hochwertige Komponente für optimale Leistung.,1,,1,0,Display LCD,1,99.99,213,0.2,Kg,,BATCH-DIS-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0007,200.00,Fahrradkomponenten,1,0,1,1,Motor Mittelmotor 500W: Hochwertige Komponente für optimale Leistung.,1,,1,0,Motor Mittelmotor 500W,1,399.99,294,3.5,Kg,,BATCH-MOT-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0008,150.00,Fahrradkomponenten,1,0,1,1,Motor Nabenmotor Vorderrad: Hochwertige Komponente für optimale Leistung.,1,,1,0,Motor Nabenmotor Vorderrad,1,299.99,116,2.5,Kg,,BATCH-MOT-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0009,5.00,Fahrradkomponenten,1,0,1,1,Griffe Standard: Hochwertige Komponente für optimale Leistung.,1,,1,0,Griffe Standard,1,12.99,133,0.1,Kg,,BATCH-GRI-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0010,15.00,Fahrradkomponenten,1,0,1,1,Sattelstütze Starr: Hochwertige Komponente für optimale Leistung.,1,,1,0,Sattelstütze Starr,1,29.99,210,0.3,Kg,,BATCH-SAT-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0011,180.00,Fahrradkomponenten,1,0,1,1,Akku Zusatzakku: Hochwertige Komponente für optimale Leistung.,1,,1,0,Akku Zusatzakku,1,359.99,98,2.5,Kg,,BATCH-AKK-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0012,20.00,Fahrradkomponenten,1,0,1,1,Steuersatz Integriert: Hochwertige Komponente für optimale Leistung.,1,,1,0,Steuersatz Integriert,1,39.99,337,0.1,Kg,,BATCH-STE-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0013,80.00,Fahrradkomponenten,1,0,1,1,Controller Leistungsstark: Hochwertige Komponente für optimale Leistung.,1,,1,0,Controller Leistungsstark,1,159.99,117,0.5,Kg,,BATCH-CON-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0014,40.00,Fahrradkomponenten,1,0,1,1,Bremsen Scheibenbremsen mechanisch: Hochwertige Komponente für optimale Leistung.,1,,1,0,Bremsen Scheibenbremsen mechanisch,1,79.99,216,0.8,Kg,,BATCH-BRE-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0015,15.00,Fahrradkomponenten,1,0,1,1,Kette 9-fach: Hochwertige Komponente für optimale Leistung.,1,,1,0,Kette 9-fach,1,29.99,324,0.3,Kg,,BATCH-KET-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0016,25.00,Fahrradkomponenten,1,0,1,1,Vorbau Verstellbarer Vorbau: Hochwertige Komponente für optimale Leistung.,1,,1,0,Vorbau Verstellbarer Vorbau,1,49.99,283,0.3,Kg,,BATCH-VOR-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0017,40.00,Fahrradkomponenten,1,0,1,1,Kurbel 3-fach: Hochwertige Komponente für optimale Leistung.,1,,1,0,Kurbel 3-fach,1,79.99,319,0.8,Kg,,BATCH-KUR-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0018,15.00,Fahrradkomponenten,1,0,1,1,Vorbau Standardvorbau: Hochwertige Komponente für optimale Leistung.,1,,1,0,Vorbau Standardvorbau,1,29.99,120,0.2,Kg,,BATCH-VOR-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0019,70.00,Fahrradkomponenten,1,0,1,1,Display Smartphone-Integration: Hochwertige Komponente für optimale Leistung.,1,,1,0,Display Smartphone-Integration,1,139.99,330,0.2,Kg,,BATCH-DIS-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0020,25.00,Fahrradkomponenten,1,0,1,1,Gel-Sattel für stoßabsorbierende Eigenschaften und hohen Komfort.,1,,1,0,Sattel Gel,1,49.99,197,0.4,Kg,,BATCH-SAT-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0021,15.00,Fahrradkomponenten,1,0,1,1,Vorbau Standardvorbau: Hochwertige Komponente für optimale Leistung.,1,,1,0,Vorbau Standardvorbau,1,29.99,326,0.2,Kg,,BATCH-VOR-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0022,50.00,Fahrradkomponenten,1,0,1,1,Sattelstütze Teleskop: Hochwertige Komponente für optimale Leistung.,1,,1,0,Sattelstütze Teleskop,1,99.99,245,0.5,Kg,,BATCH-SAT-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
