Abbr,Company,Country,Default Currency,Company Description,Domain,Email,Phone No,Fax,Tax ID,Website,Date of Incorporation,Enable Perpetual Inventory,Credit Limit
COMP0001,Velocity Wieloch KG,Germany,EUR,Developing innovative cycling technologies for the international market.,bohnbach.net,ckuehnert@geisel.de,(09818) 603941,+49 (0) 2335 260700,DE70069245311,http://wohlgemut.org/,2017-04-13,1,909449
COMP0002,Gear Killer GmbH,Austria,EUR,Developing innovative cycling technologies for the national market.,schueler.net,rtrommler@stoll.de,+49(0) 243396321,+49(0)7584 866981,ATU70479454,https://krein.de/,2016-03-04,1,454908
COMP0003,Gear Hölzenbecher e.K.,Germany,EUR,Providing bike rental services for the national market.,kruschwitz.org,riehlkarl-werner@gehringer.de,09678 668769,0056185411,DE27310226958,https://schlosser.com/,2018-05-06,1,497010
COMP0004,Velocity Kusch e.K.,Austria,EUR,Focusing on urban commuter bikes for the international market.,kambs.com,ackermannpolina@hess.de,(05252) 09303,0419730619,ATU57542421,http://trommler.com/,2020-02-25,1,20123
COMP0005,Ride Bruder e.K.,Germany,EUR,Organizing cycling tours and events for the national market.,reising.de,hentschelleokadia@ruppert.de,0920936993,04618443201,DE74253376994,http://hellwig.de/,2022-06-14,1,994078
COMP0006,Ride Reuter AG,Germany,EUR,Distributing cycling accessories for the international market.,neureuther.com,ada56@dobes.com,08488 354856,05489 296439,DE42651524380,http://www.hornig.de/,2022-02-08,1,38596
COMP0007,Frame Bärer KG,Austria,EUR,Producing premium e-bikes for the national market.,drewes.de,datzler@warmer.com,0532662784,01171 459353,ATU47235026,http://mies.de/,2022-09-24,1,447199
COMP0008,Frame Lehmann GbR,Austria,EUR,Producing premium e-bikes for the international market.,bender.com,karlheinzloeffler@heuser.de,0826784712,+49(0) 860416667,ATU39571592,http://www.scheel.org/,2020-07-07,1,896825
COMP0009,Chain Klotz AG,Austria,EUR,Distributing cycling accessories for the international market.,bloch.com,zmuehle@steckel.com,(06364) 88556,(04058) 53936,ATU65029793,https://holzapfel.com/,2017-10-01,1,353482
COMP0010,Frame Nerger KG,Germany,EUR,Offering comprehensive bike repair services for the local market.,oderwald.net,mniemeier@hauffer.org,09052 411203,+49(0)7763347014,DE53947855866,https://www.schuchhardt.de/,2016-07-22,1,196560
