Item Code,Item Name,Item Group,Default Unit of Measure,Allow Alternative Item,Is Stock Item,Include Item In Manufacturing,Opening Stock,Valuation Rate,Standard Rate,Description,Brand,Warranty Period (in days),Weight Per Unit,Weight UOM
COMP-0001,Bicycle Frame Type 1,Bicycle Components,Nos,1,1,1,192,413.2,763.23,High-quality bicycle frame type 1 for bicycles and e-bikes,ElectroBike,365,4.5,Kg
COMP-0002,Bicycle Fork Type 2,Bicycle Components,Nos,1,1,1,99,135.16,490.87,High-quality bicycle fork type 2 for bicycles and e-bikes,CyclePro,365,0.25,Kg
COMP-0003,Front Wheel Type 3,Bicycle Components,Nos,1,1,1,91,265.46,41.24,High-quality front wheel type 3 for bicycles and e-bikes,VeloTech,90,1.06,Kg
COMP-0004,Rear Wheel Type 4,Bicycle Components,Nos,1,1,1,67,313.45,668.39,High-quality rear wheel type 4 for bicycles and e-bikes,VeloTech,90,4.36,Kg
COMP-0005,Front Tire Type 5,Bicycle Components,Nos,1,1,1,104,363.37,691.76,High-quality front tire type 5 for bicycles and e-bikes,ElectroBike,730,0.31,Kg
COMP-0006,Rear Tire Type 6,Bicycle Components,Nos,1,1,1,132,10.2,237.86,High-quality rear tire type 6 for bicycles and e-bikes,ElectroBike,90,4.41,Kg
COMP-0007,Front Tube Type 7,Bicycle Components,Nos,1,1,1,177,15.48,496.29,High-quality front tube type 7 for bicycles and e-bikes,ElectroBike,730,4.83,Kg
COMP-0008,Rear Tube Type 8,Bicycle Components,Nos,1,1,1,107,329.95,687.67,High-quality rear tube type 8 for bicycles and e-bikes,CyclePro,730,1.58,Kg
COMP-0009,Handlebar Type 9,Bicycle Components,Nos,1,1,1,180,23.77,524.56,High-quality handlebar type 9 for bicycles and e-bikes,VeloTech,180,3.06,Kg
COMP-0010,Stem Type 10,Bicycle Components,Nos,1,1,1,167,195.45,981.16,High-quality stem type 10 for bicycles and e-bikes,VeloTech,365,1.82,Kg
COMP-0011,Headset Type 11,Bicycle Components,Nos,1,1,1,109,99.67,798.08,High-quality headset type 11 for bicycles and e-bikes,GearMaster,180,3.28,Kg
COMP-0012,Crankset Type 12,Bicycle Components,Nos,1,1,1,143,113.24,99.56,High-quality crankset type 12 for bicycles and e-bikes,GearMaster,365,0.24,Kg
COMP-0013,Pedals Type 13,Bicycle Components,Nos,1,1,1,127,132.87,588.68,High-quality pedals type 13 for bicycles and e-bikes,VeloTech,730,3.57,Kg
COMP-0014,Chain Type 14,Bicycle Components,Nos,1,1,1,163,497.01,619.33,High-quality chain type 14 for bicycles and e-bikes,CyclePro,180,3.3,Kg
COMP-0015,Gear Set Type 15,Bicycle Components,Nos,1,1,1,183,308.31,855.39,High-quality gear set type 15 for bicycles and e-bikes,CyclePro,365,2.13,Kg
COMP-0016,Cassette Type 16,Bicycle Components,Nos,1,1,1,50,412.59,894.08,High-quality cassette type 16 for bicycles and e-bikes,CyclePro,180,0.23,Kg
COMP-0017,Front Brake Type 17,Bicycle Components,Nos,1,1,1,198,412.52,893.23,High-quality front brake type 17 for bicycles and e-bikes,CyclePro,365,4.82,Kg
COMP-0018,Rear Brake Type 18,Bicycle Components,Nos,1,1,1,157,334.26,655.67,High-quality rear brake type 18 for bicycles and e-bikes,ElectroBike,730,1.54,Kg
COMP-0019,Saddle Type 19,Bicycle Components,Nos,1,1,1,64,179.35,297.55,High-quality saddle type 19 for bicycles and e-bikes,CyclePro,180,2.48,Kg
COMP-0020,Seatpost Type 20,Bicycle Components,Nos,1,1,1,174,42.44,972.26,High-quality seatpost type 20 for bicycles and e-bikes,GearMaster,180,3.08,Kg
COMP-0021,Gear Cable Set Type 21,Bicycle Components,Nos,1,1,1,174,248.58,946.94,High-quality gear cable set type 21 for bicycles and e-bikes,VeloTech,180,4.34,Kg
COMP-0022,Brake Cable Set Type 22,Bicycle Components,Nos,1,1,1,196,246.81,480.38,High-quality brake cable set type 22 for bicycles and e-bikes,ElectroBike,90,4.49,Kg
