Default Unit of Measure ,Item Code           ,Item Name                       ,Item Group         ,Valuation Rate ,Allow Alternative Item ,Allow Negative Stock ,Allow Purchase ,Allow Sales ,Description                                                                                                                                                                  ,Has Batch No ,Has Serial No ,Include Item In Manufacturing ,Is Fixed Asset ,Maintain Stock ,Standard Selling Rate ,Warranty Period (in days) ,Weight Per Unit ,Weight UOM ,Serial Number Series ,Batch Number Series ,Default Expense Account (Item Defaults)
Nos                     ,STO-EBIKE-2024-0001 ,Velo E-Carbon Elite             ,E-Bikes            ,       7199.99 ,                     1 ,                   0 ,             0 ,          1 ,"Premium E-Bike mit Carbonrahmen, Bosch Performance Line CX Antrieb und hochwertiger XTR/XT Ausstattung. Für anspruchsvolle Fahrer die Wert auf maximale Performance legen." ,             ,            1 ,                            1 ,             0 ,             1 ,             11999.99 ,                      730 ,         15.2   ,Kg         ,EBIKE-2024-          ,                    ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-BIKE-2024-0001  ,Velo Race Pro                   ,Fahrräder          ,       6099.99 ,                     1 ,                   0 ,             0 ,          1 ,"High-End Rennrad mit Carbonrahmen und Shimano Ultegra Di2 Ausstattung. Aerodynamisch optimiert für maximale Performance auf der Straße."                                    ,             ,            1 ,                            1 ,             0 ,             1 ,             10499.99 ,                      730 ,          7.8   ,Kg         ,BIKE-2024-           ,                    ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-BIKE-2024-0002  ,Velo Mountain Elite             ,Fahrräder          ,       5199.99 ,                     1 ,                   0 ,             0 ,          1 ,"Premium Mountainbike mit optimierter Trail-Geometrie, Fox Factory Fahrwerk und Shimano XT Ausstattung. Für anspruchsvolles Gelände."                                        ,             ,            1 ,                            1 ,             0 ,             1 ,              8999.99 ,                      730 ,         12.4   ,Kg         ,BIKE-2024-           ,                    ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-EBIKE-2024-0002 ,Velo E-City Plus                ,E-Bikes            ,       4299.99 ,                     1 ,                   0 ,             0 ,          1 ,"Komfortables E-City-Bike mit Bosch Performance Line Motor, integriertem Akku und hochwertiger Ausstattung für den täglichen Einsatz."                                       ,             ,            1 ,                            1 ,             0 ,             1 ,              6999.99 ,                      730 ,         22.5   ,Kg         ,EBIKE-2024-          ,                    ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-EBIKE-2024-0003 ,Velo E-City Basic               ,E-Bikes            ,       3499.99 ,                     1 ,                   0 ,             0 ,          1 ,"Einstiegs-E-Bike mit Bosch Active Line Motor. Zuverlässig und komfortabel für den Stadtverkehr."                                                                            ,             ,            1 ,                            1 ,             0 ,             1 ,              5499.99 ,                      730 ,         23.5   ,Kg         ,EBIKE-2024-          ,                    ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-BIKE-2024-0005  ,Velo City Life                  ,Fahrräder          ,       2199.99 ,                     1 ,                   0 ,             0 ,          1 ,"Praktisches Stadtrad mit Shimano Nexus 8-Gang Nabenschaltung. Wartungsarm und alltagstauglich."                                                                             ,             ,            1 ,                            1 ,             0 ,             1 ,              3499.99 ,                      730 ,         15.5   ,Kg         ,BIKE-2024-           ,                    ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-BIKE-2024-0006  ,Velo Urban Basic                ,Fahrräder          ,       1799.99 ,                     1 ,                   0 ,             0 ,          1 ,"Einfaches und robustes Stadtrad mit 7-Gang Schaltung. Ideal für den preisbewussten Stadtfahrer."                                                                            ,             ,            1 ,                            1 ,             0 ,             1 ,              2799.99 ,                      730 ,         16.2   ,Kg         ,BIKE-2024-           ,                    ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-C001  ,Carbon Pro Race Lenker          ,Fahrradkomponenten ,        249.99 ,                     1 ,                   0 ,             1 ,          1 ,"Ultra-leichter Carbon-Rennlenker, 42/44cm Breite, integrierte Kabelführung, UCI-konform, optimierte Ergonomie für lange Rennradausfahrten"                                  ,           1 ,              ,                            1 ,             0 ,             1 ,               499.99 ,                      365 ,          0.18  ,Kg         ,                     ,COCKPIT-2024-       ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-C002  ,Carbon MTB Flatbar Elite        ,Fahrradkomponenten ,        189.99 ,                     1 ,                   0 ,             1 ,          1 ,"Carbon MTB-Lenker, 760mm Breite, 20mm Rise, 9° Backsweep, optimiert für Trail und All-Mountain Einsatz"                                                                     ,           1 ,              ,                            1 ,             0 ,             1 ,               379.99 ,                      365 ,          0.22  ,Kg         ,                     ,COCKPIT-2024-       ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-C003  ,Alu Pro Race Lenker             ,Fahrradkomponenten ,         89.99 ,                     1 ,                   0 ,             1 ,          1 ,"Leichter Aluminium-Rennlenker, 42/44cm Breite, ergonomisches Oberlenker-Design, Double-butted 7075-T6"                                                                      ,           1 ,              ,                            1 ,             0 ,             1 ,               179.99 ,                      365 ,          0.28  ,Kg         ,                     ,COCKPIT-2024-       ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-C004  ,Alu MTB Riser Pro               ,Fahrradkomponenten ,         69.99 ,                     1 ,                   0 ,             1 ,          1 ,"Aluminium MTB-Riser-Lenker, 780mm Breite, 35mm Rise, 8° Backsweep, 5° Upsweep"                                                                                              ,           1 ,              ,                            1 ,             0 ,             1 ,               139.99 ,                      365 ,          0.32  ,Kg         ,                     ,COCKPIT-2024-       ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-C005  ,Carbon Vorbau Elite             ,Fahrradkomponenten ,        159.99 ,                     1 ,                   0 ,             1 ,          1 ,"Carbon-Vorbau, -17° Neigung, Längen: 80-120mm, Titanschrauben, nur 98g (100mm)"                                                                                             ,           1 ,              ,                            1 ,             0 ,             1 ,               319.99 ,                      365 ,          0.12  ,Kg         ,                     ,COCKPIT-2024-       ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-C006  ,Alu Vorbau Pro                  ,Fahrradkomponenten ,         54.99 ,                     1 ,                   0 ,             1 ,          1 ,"Geschmiedeter Aluminium-Vorbau, -6° Neigung, Längen: 70-130mm, 4-Schrauben-Klemmung"                                                                                        ,           1 ,              ,                            1 ,             0 ,             1 ,               109.99 ,                      365 ,          0.14  ,Kg         ,                     ,COCKPIT-2024-       ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-C007  ,Carbon Sattelstütze Pro         ,Fahrradkomponenten ,        179.99 ,                     1 ,                   0 ,             1 ,          1 ,"Carbon-Sattelstütze mit 0mm Offset, 27.2/31.6mm, Länge 350mm, optimierte Dämpfungseigenschaften"                                                                            ,           1 ,              ,                            1 ,             0 ,             1 ,               359.99 ,                      365 ,          0.19  ,Kg         ,                     ,COCKPIT-2024-       ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
