ID,Campaign Name,Description
CAMP-0001,Print - Regular Bikes - B2C,Campaign targeting B2C customers for Regular Bikes using Print marketing.
CAMP-0002,Referral - Regular Bikes - Both,Campaign targeting Both customers for Regular Bikes using Referral marketing.
CAMP-0003,Social Media - Accessories - B2B,Campaign targeting B2B customers for Accessories using Social Media marketing.
CAMP-0004,Referral - Accessories - B2B,Campaign targeting B2B customers for Accessories using Referral marketing.
CAMP-0005,Email - Accessories - B2C,Campaign targeting B2C customers for Accessories using Email marketing.
CAMP-0006,Print - E-Bikes - B2B,Campaign targeting B2B customers for E-Bikes using Print marketing.
CAMP-0007,Email - Accessories - Both,Campaign targeting Both customers for Accessories using Email marketing.
CAMP-0008,Referral - E-Bikes - B2B,Campaign targeting B2B customers for E-Bikes using Referral marketing.
CAMP-0009,Print - Regular Bikes - B2B,Campaign targeting B2B customers for Regular Bikes using Print marketing.
CAMP-0010,Trade Show - Accessories - B2C,Campaign targeting B2C customers for Accessories using Trade Show marketing.
CAMP-0011,Print - E-Bikes - B2C,Campaign targeting B2C customers for E-Bikes using Print marketing.
CAMP-0012,Print - E-Bikes - B2C,Campaign targeting B2C customers for E-Bikes using Print marketing.
CAMP-0013,Referral - Accessories - B2C,Campaign targeting B2C customers for Accessories using Referral marketing.
CAMP-0014,Email - Regular Bikes - B2B,Campaign targeting B2B customers for Regular Bikes using Email marketing.
CAMP-0015,Print - Services - Both,Campaign targeting Both customers for Services using Print marketing.
CAMP-0016,Print - Regular Bikes - B2B,Campaign targeting B2B customers for Regular Bikes using Print marketing.
CAMP-0017,Social Media - E-Bikes - B2B,Campaign targeting B2B customers for E-Bikes using Social Media marketing.
CAMP-0018,Email - Regular Bikes - Both,Campaign targeting Both customers for Regular Bikes using Email marketing.
CAMP-0019,Referral - Regular Bikes - Both,Campaign targeting Both customers for Regular Bikes using Referral marketing.
CAMP-0020,Social Media - Services - B2B,Campaign targeting B2B customers for Services using Social Media marketing.
