ID,Supplier Name,Supplier Type,Country,Supplier Group,Email Id,Mobile No,Supplier Details,Website,Is Frozen,Is Internal Supplier,Disabled,Allow Purchase Invoice Creation Without Purchase Order,Allow Purchase Invoice Creation Without Purchase Receipt
SUP-8871,Pergande e.G.,Individual,Germany,Hardware,info@pergande.eg.de,03997915491,brand value-added functionalities,www.pergande-eg.de,0,0,0,0,1
SUP-7866,Schmidt,Individual,Germany,Hardware,einkauf@schmidt.de,+49(0)0058157752,reinvent visionary supply-chains,www.schmidt.de,0,0,0,1,1
SUP-3456,Heidrich GbR,Proprietorship,Germany,Raw Material Supplier,kontakt@heidrich.gbr.de,(01435) 739962,visualize mission-critical content,www.heidrich-gbr.de,0,0,0,1,1
SUP-1899,Karz Harloff KG,Individual,Germany,Local,verkauf@karz.harloff.kg.de,+49 (0) 5719 670637,exploit innovative e-markets,www.karz-harloff-kg.de,0,0,0,0,0
SUP-1841,Wirth,Proprietorship,Germany,Local,support@wirth.de,+49 (0) 2516 135655,maximize user-centric networks,www.wirth.de,0,0,0,1,1
SUP-1608,Kuhl AG,Individual,Germany,Local,einkauf@kuhl.ag.de,(08427) 29095,embrace enterprise users,www.kuhl-ag.de,0,0,0,0,0
SUP-3403,Neureuther AG,Company,Germany,Local,einkauf@neureuther.ag.de,05587 939369,transform revolutionary initiatives,www.neureuther-ag.de,0,0,0,0,0
SUP-2070,Schenk,Partnership,Germany,Local,support@schenk.de,+49(0)0830 02300,brand innovative web services,www.schenk.de,0,0,0,0,0
SUP-7517,Plath AG,Individual,Germany,Hardware,support@plath.ag.de,+49(0)4011 126304,deploy extensible eyeballs,www.plath-ag.de,0,0,0,0,0
SUP-9979,Becker Barth Stiftung & Co. KGaA,Partnership,Germany,Hardware,kontakt@becker.barth.stiftung.co.kgaa.de,+49(0)2242 10210,benchmark world-class ROI,www.becker-barth-stiftung--co-kgaa.de,0,0,0,0,0
SUP-9068,Mangold,Individual,Germany,Local,support@mangold.de,08661 056602,syndicate viral experiences,www.mangold.de,0,0,0,0,1
SUP-6534,Löffler Stiebitz Stiftung & Co. KG,Company,Germany,Component Manufacturer,einkauf@löffler.stiebitz.stiftung.co.kg.de,+49 (0) 6073 490872,engineer B2C niches,www.löffler-stiebitz-stiftung--co-kg.de,0,0,0,1,0
SUP-5327,Reising Thies e.G.,Company,Germany,Hardware,support@reising.thies.eg.de,(00449) 05946,e-enable granular communities,www.reising-thies-eg.de,0,0,0,0,0
SUP-2836,Liebelt,Company,Germany,Component Manufacturer,verkauf@liebelt.de,+49 (0) 9574 631820,empower end-to-end schemas,www.liebelt.de,0,0,0,0,0
SUP-2279,Kroker GmbH & Co. KG,Individual,Germany,Local,einkauf@kroker.gmbh.co.kg.de,01717133364,engage proactive action-items,www.kroker-gmbh--co-kg.de,0,0,0,0,0
SUP-2438,Rust Beier e.V.,Partnership,Germany,Hardware,einkauf@rust.beier.ev.de,+49 (0) 7333 548420,deploy dynamic functionalities,www.rust-beier-ev.de,0,0,0,0,1
SUP-6493,Bohnbach Pärtzelt AG & Co. KGaA,Individual,Germany,Hardware,info@bohnbach.pärtzelt.ag.co.kgaa.de,+49(0)0474 99909,engage B2C synergies,www.bohnbach-pärtzelt-ag--co-kgaa.de,0,0,0,0,1
SUP-6183,Bender,Individual,Germany,Hardware,verkauf@bender.de,+49(0) 448125775,re-contextualize strategic partnerships,www.bender.de,0,0,0,1,0
SUP-5345,Striebitz Segebahn Stiftung & Co. KG,Individual,Germany,Hardware,support@striebitz.segebahn.stiftung.co.kg.de,+49(0)0864 249650,innovate visionary models,www.striebitz-segebahn-stiftung--co-kg.de,0,0,0,1,0
SUP-7133,Binner GmbH,Individual,Germany,Local,support@binner.gmbh.de,04386794148,iterate ubiquitous schemas,www.binner-gmbh.de,0,0,0,0,0
SUP-5984,Blümel,Company,Germany,Local,info@blümel.de,07533109899,generate bricks-and-clicks platforms,www.blümel.de,0,0,0,0,1
SUP-7453,Förster Sontag KG,Partnership,Germany,Component Manufacturer,verkauf@förster.sontag.kg.de,(08358) 489783,evolve enterprise bandwidth,www.förster-sontag-kg.de,0,0,0,1,0
SUP-7591,Jüttner Jüttner AG,Partnership,Germany,Local,kontakt@jüttner.jüttner.ag.de,(01777) 93607,repurpose synergistic interfaces,www.jüttner-jüttner-ag.de,0,0,0,0,1
SUP-3630,Reising Käster KG,Proprietorship,Germany,Component Manufacturer,verkauf@reising.käster.kg.de,+49(0) 971807832,reinvent strategic experiences,www.reising-käster-kg.de,0,0,0,0,1
SUP-3275,Gute GmbH,Individual,Germany,Local,verkauf@gute.gmbh.de,00835 140611,enhance visionary synergies,www.gute-gmbh.de,0,0,0,0,1
SUP-7004,Seifert,Partnership,Germany,Raw Material,verkauf@seifert.de,+49(0)8850297593,re-intermediate visionary relationships,www.seifert.de,0,0,0,0,1
SUP-3629,Girschner e.G.,Partnership,Germany,Hardware,verkauf@girschner.eg.de,03929 414934,scale global platforms,www.girschner-eg.de,0,0,0,1,0
SUP-2675,Wohlgemut,Proprietorship,Germany,Local,kontakt@wohlgemut.de,+49(0)0238321380,grow value-added ROI,www.wohlgemut.de,0,0,0,0,0
